Sl. No.,Official_Gene_Symbol,Entrez_Gene_ID,Expression_Change,Gene_Name
713,SUOX,509837,Upregulated,sulfite oxidase(SUOX)
714,MAPK15,512125,Upregulated,mitogen-activated protein kinase 15(MAPK15)
715,MAPK12,512943,Upregulated,mitogen-activated protein kinase 12(MAPK12)
716,LOC107131596,107131596,Upregulated,uncharacterized LOC107131596(LOC107131596)
717,RSPH3,533135,Upregulated,radial spoke head 3(RSPH3)
718,IRGQ,616834,Upregulated,immunity related GTPase Q(IRGQ)
719,CD4,407098,Upregulated,CD4 molecule(CD4)
720,SBK1,614815,Upregulated,SH3 domain binding kinase 1(SBK1)
721,CD5,280745,Upregulated,CD5 molecule(CD5)
722,ERCC4,516371,Upregulated,"ERCC excision repair 4, endonuclease catalytic subunit(ERCC4)"
723,LOC132345292,132345292,Upregulated,cyclin-dependent kinase 2-like(LOC132345292)
724,BRMS1L,514432,Upregulated,BRMS1 like transcriptional repressor(BRMS1L)
725,POLE2,518653,Upregulated,"DNA polymerase epsilon 2, accessory subunit(POLE2)"
726,CD7,510073,Upregulated,CD7 molecule(CD7)
727,ERCC2,100125238,Upregulated,"ERCC excision repair 2, TFIIH core complex helicase subunit(ERCC2)"
728,ASB6,509719,Upregulated,ankyrin repeat and SOCS box containing 6(ASB6)
729,ASB7,507483,Upregulated,ankyrin repeat and SOCS box containing 7(ASB7)
730,ACKR3,509585,Upregulated,atypical chemokine receptor 3(ACKR3)
731,GALM,616676,Upregulated,galactose mutarotase(GALM)
732,VIM,280955,Upregulated,vimentin(VIM)
733,TAF5,516001,Upregulated,TATA-box binding protein associated factor 5(TAF5)
734,LOC618737,618737,Upregulated,bone marrow stromal antigen 2(LOC618737)
735,LOC617648,617648,Upregulated,protein EOLA1(LOC617648)
736,RRP7,512692,Upregulated,ribosomal RNA processing 7 homolog(RRP7)
737,PATJ,536993,Upregulated,PATJ crumbs cell polarity complex component(PATJ)
738,LOC101903356,101903356,Upregulated,uncharacterized LOC101903356(LOC101903356)
739,IPP,785293,Upregulated,intracisternal A particle-promoted polypeptide(IPP)
740,GPATCH1,518738,Upregulated,G-patch domain containing 1(GPATCH1)
741,ENO1,281141,Upregulated,enolase 1(ENO1)
742,SMC4,353350,Upregulated,structural maintenance of chromosomes 4(SMC4)
743,LOC101903590,101903590,Upregulated,T cell receptor beta variable 20-1-like(LOC101903590)
744,GLE1,540982,Upregulated,GLE1 RNA export mediator(GLE1)
745,H2AC12,616634,Upregulated,H2A clustered histone 12(H2AC12)
746,CNST,541076,Upregulated,"consortin, connexin sorting protein(CNST)"
747,JSP.1,407173,Upregulated,MHC Class I JSP.1(JSP.1)
748,EVA1A,528994,Upregulated,"eva-1 homolog A, regulator of programmed cell death(EVA1A)"
749,MSANTD2,613830,Upregulated,Myb/SANT DNA binding domain containing 2(MSANTD2)
750,CREB3L2,785086,Upregulated,cAMP responsive element binding protein 3 like 2(CREB3L2)
751,ZXDC,789590,Upregulated,ZXD family zinc finger C(ZXDC)
752,PROK2,387602,Upregulated,prokineticin 2(PROK2)
753,CYP1B1,511470,Upregulated,cytochrome P450 family 1 subfamily B member 1(CYP1B1)
754,MMUT,280871,Upregulated,methylmalonyl-CoA mutase(MMUT)
755,JUNB,514246,Upregulated,"JunB proto-oncogene, AP-1 transcription factor subunit(JUNB)"
756,ZNF169,531355,Upregulated,zinc finger protein 169(ZNF169)
757,IER3,505455,Upregulated,immediate early response 3(IER3)
758,GAMT,515270,Upregulated,guanidinoacetate N-methyltransferase(GAMT)
759,DDX18,519254,Upregulated,DEAD-box helicase 18(DDX18)
760,PRKCI,528478,Upregulated,protein kinase C iota(PRKCI)
761,ACOT8,504360,Upregulated,acyl-CoA thioesterase 8(ACOT8)
762,UNC13A,526874,Upregulated,unc-13 homolog A(UNC13A)
763,MECR,353301,Upregulated,mitochondrial trans-2-enoyl-CoA reductase(MECR)
764,NHLRC3,506625,Upregulated,NHL repeat containing 3(NHLRC3)
765,MAP1S,527829,Upregulated,microtubule associated protein 1S(MAP1S)
766,DAPK2,529131,Upregulated,death associated protein kinase 2(DAPK2)
767,PRKCE,507041,Upregulated,protein kinase C epsilon(PRKCE)
768,REV1,616986,Upregulated,REV1 DNA directed polymerase(REV1)
769,GTPBP8,522329,Upregulated,GTP binding protein 8 (putative)(GTPBP8)
770,PRKCA,282001,Upregulated,protein kinase C alpha(PRKCA)
771,LOC112449521,112449521,Upregulated,uncharacterized LOC112449521(LOC112449521)
772,GTPBP1,513922,Upregulated,GTP binding protein 1(GTPBP1)
773,KNSTRN,507864,Upregulated,kinetochore localized astrin (SPAG5) binding protein(KNSTRN)
774,WDR76,515302,Upregulated,WD repeat domain 76(WDR76)
775,LOC100295645,100295645,Upregulated,uncharacterized LOC100295645(LOC100295645)
776,SULT2B1,531192,Upregulated,sulfotransferase family 2B member 1(SULT2B1)
777,RNF123,514160,Upregulated,ring finger protein 123(RNF123)
778,ARMC6,514111,Upregulated,armadillo repeat containing 6(ARMC6)
779,TEP1,505802,Upregulated,telomerase associated protein 1(TEP1)
780,SERPING1,281035,Upregulated,serpin family G member 1(SERPING1)
781,ASTN2,781555,Upregulated,astrotactin 2(ASTN2)
782,ADPRM,534038,Upregulated,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent(ADPRM)"
783,TSPYL4,508104,Upregulated,TSPY like 4(TSPYL4)
784,LOC101907707,101907707,Upregulated,uncharacterized LOC101907707(LOC101907707)
785,ASF1B,510538,Upregulated,anti-silencing function 1B histone chaperone(ASF1B)
786,RHNO1,513642,Upregulated,RAD9-HUS1-RAD1 interacting nuclear orphan 1(RHNO1)
787,ZNF397,506448,Upregulated,zinc finger protein 397(ZNF397)
788,LIPT2,527628,Upregulated,lipoyl(octanoyl) transferase 2(LIPT2)
789,LOC789205,789205,Upregulated,immunoglobulin lambda-1 light chain-like(LOC789205)
790,XPA,537958,Upregulated,"XPA, DNA damage recognition and repair factor(XPA)"
791,LOC107132994,107132994,Upregulated,translation initiation factor IF-2(LOC107132994)
792,CFP,539605,Upregulated,complement factor properdin(CFP)
793,LOC104976232,104976232,Upregulated,ubiquitin-conjugating enzyme E2 N-like(LOC104976232)
794,FAM171A1,534850,Upregulated,family with sequence similarity 171 member A1(FAM171A1)
795,LDHA,281274,Upregulated,lactate dehydrogenase A(LDHA)
796,CHST10,511215,Upregulated,carbohydrate sulfotransferase 10(CHST10)
797,S100A13,404146,Upregulated,S100 calcium binding protein A13(S100A13)
798,RRS1,510956,Upregulated,ribosome biogenesis regulator 1 homolog(RRS1)
799,ST3GAL5,404164,Upregulated,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5(ST3GAL5)"
800,CEP72,617312,Upregulated,centrosomal protein 72(CEP72)
801,KIAA0319L,784489,Upregulated,KIAA0319 like(KIAA0319L)
802,NHEJ1,509157,Upregulated,non-homologous end joining factor 1(NHEJ1)
803,CEP78,537926,Upregulated,centrosomal protein 78(CEP78)
804,BTF3,281031,Upregulated,basic transcription factor 3(BTF3)
805,LOC101902479,101902479,Upregulated,uncharacterized LOC101902479(LOC101902479)
806,CDK19,511802,Upregulated,cyclin dependent kinase 19(CDK19)
807,ICMT,785548,Upregulated,isoprenylcysteine carboxyl methyltransferase(ICMT)
808,PHC1,540021,Upregulated,polyhomeotic homolog 1(PHC1)
809,SETD1A,782887,Upregulated,"SET domain containing 1A, histone lysine methyltransferase(SETD1A)"
810,IRF2BP1,112442341,Upregulated,interferon regulatory factor 2 binding protein 1(IRF2BP1)
811,GPN2,514772,Upregulated,GPN-loop GTPase 2(GPN2)
812,MEX3C,529318,Upregulated,mex-3 RNA binding family member C(MEX3C)
813,PRDX6,282438,Upregulated,peroxiredoxin 6(PRDX6)
814,SLC16A14,539153,Upregulated,solute carrier family 16 member 14(SLC16A14)
815,ELL3,512648,Upregulated,elongation factor for RNA polymerase II 3(ELL3)
816,TADA2B,515581,Upregulated,transcriptional adaptor 2B(TADA2B)
817,PPP5C,510245,Upregulated,protein phosphatase 5 catalytic subunit(PPP5C)
818,H2AC25,538911,Upregulated,H2A clustered histone 25(H2AC25)
819,H2AC21,614974,Upregulated,H2A clustered histone 21(H2AC21)
820,OGDH,534599,Upregulated,oxoglutarate dehydrogenase(OGDH)
821,ATG2A,529808,Upregulated,autophagy related 2A(ATG2A)
822,LOC100337323,100337323,Upregulated,uncharacterized LOC100337323(LOC100337323)
823,FARSB,788792,Upregulated,phenylalanyl-tRNA synthetase subunit beta(FARSB)
824,ZNF134,540014,Upregulated,zinc finger protein 134(ZNF134)
825,MESP1,112443239,Upregulated,mesoderm posterior bHLH transcription factor 1(MESP1)
826,PHF2,537728,Upregulated,PHD finger protein 2(PHF2)
827,LOC112448481,112448481,Upregulated,uncharacterized LOC112448481(LOC112448481)
828,LOC132345923,132345923,Upregulated,pleckstrin homology domain-containing family B member 2-like(LOC132345923)
829,ELN,280781,Upregulated,elastin(ELN)
830,ARPC1B,326600,Upregulated,actin related protein 2/3 complex subunit 1B(ARPC1B)
831,LOC132344833,132344833,Upregulated,uncharacterized LOC132344833(LOC132344833)
832,ADM,280713,Upregulated,adrenomedullin(ADM)
833,LOC104974070,104974070,Upregulated,uncharacterized LOC104974070(LOC104974070)
834,LOC107131885,107131885,Upregulated,uncharacterized LOC107131885(LOC107131885)
835,PHF7,100337047,Upregulated,PHD finger protein 7(PHF7)
836,CSAD,516241,Upregulated,cysteine sulfinic acid decarboxylase(CSAD)
837,PFAS,520318,Upregulated,phosphoribosylformylglycinamidine synthase(PFAS)
838,SMG8,522040,Upregulated,SMG8 nonsense mediated mRNA decay factor(SMG8)
839,FARS2,505390,Upregulated,"phenylalanyl-tRNA synthetase 2, mitochondrial(FARS2)"
840,RNF157,507697,Upregulated,ring finger protein 157(RNF157)
841,GPR137,505015,Upregulated,G protein-coupled receptor 137(GPR137)
842,PLEKHN1,132342479,Upregulated,pleckstrin homology domain containing N1(PLEKHN1)
843,ZNF366,539632,Upregulated,zinc finger protein 366(ZNF366)
844,FCRL1,517846,Upregulated,Fc receptor like 1(FCRL1)
845,BATF3,535008,Upregulated,basic leucine zipper ATF-like transcription factor 3(BATF3)
846,SERPINB1,507264,Upregulated,serpin family B member 1(SERPINB1)
847,BRD1,100336626,Upregulated,bromodomain containing 1(BRD1)
848,TIMM29,508067,Upregulated,translocase of inner mitochondrial membrane 29(TIMM29)
849,TPI1,281543,Upregulated,triosephosphate isomerase 1(TPI1)
850,WDR37,529876,Upregulated,WD repeat domain 37(WDR37)
851,TIGD7,101903519,Upregulated,tigger transposable element derived 7(TIGD7)
852,ITPK1,518488,Upregulated,inositol-tetrakisphosphate 1-kinase(ITPK1)
853,LOC132344822,132344822,Upregulated,uncharacterized LOC132344822(LOC132344822)
854,FN3KRP,615868,Upregulated,fructosamine 3 kinase related protein(FN3KRP)
855,TET1,513640,Upregulated,tet methylcytosine dioxygenase 1(TET1)
856,WDR31,528277,Upregulated,WD repeat domain 31(WDR31)
857,GNL3,506152,Upregulated,G protein nucleolar 3(GNL3)
858,LOC107131649,107131649,Upregulated,uncharacterized LOC107131649(LOC107131649)
859,RIPPLY3,100335484,Upregulated,ripply transcriptional repressor 3(RIPPLY3)
860,LOC107132977,107132977,Upregulated,uncharacterized LOC107132977(LOC107132977)
861,GAS1,540336,Upregulated,growth arrest specific 1(GAS1)
862,PLIN2,280981,Upregulated,perilipin 2(PLIN2)
863,SINHCAF,538649,Upregulated,SIN3-HDAC complex associated factor(SINHCAF)
864,ZNF358,107131321,Upregulated,zinc finger protein 358(ZNF358)
865,PLCB1,287026,Upregulated,phospholipase C beta 1(PLCB1)
866,GAS7,614517,Upregulated,growth arrest specific 7(GAS7)
867,GRAMD1C,505581,Upregulated,GRAM domain containing 1C(GRAMD1C)
868,WDR25,527651,Upregulated,WD repeat domain 25(WDR25)
869,LOC100141145,100141145,Upregulated,uncharacterized LOC100141145(LOC100141145)
870,LOC101902444,101902444,Upregulated,uncharacterized LOC101902444(LOC101902444)
871,PRUNE1,524973,Upregulated,prune exopolyphosphatase 1(PRUNE1)
872,LOC132342639,132342639,Upregulated,uncharacterized LOC132342639(LOC132342639)
873,LOC788150,788150,Upregulated,uncharacterized LOC788150(LOC788150)
874,LOC104969097,104969097,Upregulated,uncharacterized LOC104969097(LOC104969097)
875,LOC101909083,101909083,Upregulated,uncharacterized LOC101909083(LOC101909083)
876,LOC112441830,112441830,Upregulated,uncharacterized protein C11orf96 homolog(LOC112441830)
877,RPS3,326588,Upregulated,ribosomal protein S3(RPS3)
878,ANKRD54,538961,Upregulated,ankyrin repeat domain 54(ANKRD54)
879,PCGF1,539040,Upregulated,polycomb group ring finger 1(PCGF1)
880,RPS2,286867,Upregulated,ribosomal protein S2(RPS2)
881,ANKRD52,521057,Upregulated,ankyrin repeat domain 52(ANKRD52)
882,SIAE,507461,Upregulated,sialic acid acetylesterase(SIAE)
883,DTD2,514035,Upregulated,D-aminoacyl-tRNA deacylase 2(DTD2)
884,ZNF341,523204,Upregulated,zinc finger protein 341(ZNF341)
885,PCGF6,507739,Upregulated,polycomb group ring finger 6(PCGF6)
886,CDKN2C,505691,Upregulated,cyclin dependent kinase inhibitor 2C(CDKN2C)
887,SEPTIN1,512478,Upregulated,septin 1(SEPTIN1)
888,WHRN,533033,Upregulated,whirlin(WHRN)
889,CDKN2A,616369,Upregulated,cyclin dependent kinase inhibitor 2A(CDKN2A)
890,GLYCTK,507949,Upregulated,glycerate kinase(GLYCTK)
891,WDR18,533356,Upregulated,WD repeat domain 18(WDR18)
892,ADAT1,618521,Upregulated,adenosine deaminase tRNA specific 1(ADAT1)
893,LAPTM5,512361,Upregulated,lysosomal protein transmembrane 5(LAPTM5)
894,LOC112447364,112447364,Upregulated,uncharacterized LOC112447364(LOC112447364)
895,ELP2,511041,Upregulated,elongator acetyltransferase complex subunit 2(ELP2)
896,DEF6,516457,Upregulated,DEF6 guanine nucleotide exchange factor(DEF6)
897,RFLNA,507695,Upregulated,refilin A(RFLNA)
898,MORN4,614519,Upregulated,MORN repeat containing 4(MORN4)
899,STING1,533661,Upregulated,stimulator of interferon response cGAMP interactor 1(STING1)
900,ADM5,617744,Upregulated,adrenomedullin 5 (putative)(ADM5)
901,RFWD3,540072,Upregulated,ring finger and WD repeat domain 3(RFWD3)
902,LOC618696,618696,Upregulated,trophoblast Kunitz domain protein 1(LOC618696)
903,SARM1,536256,Upregulated,sterile alpha and TIR motif containing 1(SARM1)
904,COQ8B,514322,Upregulated,coenzyme Q8B(COQ8B)
905,ZNF576,616814,Upregulated,zinc finger protein 576(ZNF576)
906,N6AMT1,615200,Upregulated,N-6 adenine-specific DNA methyltransferase 1(N6AMT1)
907,ANKRD39,510840,Upregulated,ankyrin repeat domain 39(ANKRD39)
908,LOC112448040,112448040,Upregulated,putative uncharacterized protein C6orf183(LOC112448040)
909,GHDC,515225,Upregulated,GH3 domain containing(GHDC)
910,MTFMT,286855,Upregulated,mitochondrial methionyl-tRNA formyltransferase(MTFMT)
911,CSF3,281096,Upregulated,colony stimulating factor 3(CSF3)
912,DGKE,538147,Upregulated,diacylglycerol kinase epsilon(DGKE)
913,CSF2,281095,Upregulated,colony stimulating factor 2(CSF2)
914,ZNF570,100138971,Upregulated,zinc finger protein 570(ZNF570)
915,CSF1,281094,Upregulated,colony stimulating factor 1(CSF1)
916,IRS1,538598,Upregulated,insulin receptor substrate 1(IRS1)
917,DGKA,506348,Upregulated,diacylglycerol kinase alpha(DGKA)
918,CEP19,613916,Upregulated,centrosomal protein 19(CEP19)
919,TUSC1,539580,Upregulated,tumor suppressor candidate 1(TUSC1)
920,ITGA2B,515011,Upregulated,integrin subunit alpha 2b(ITGA2B)
921,AHR,280714,Upregulated,aryl hydrocarbon receptor(AHR)
922,TM7SF3,510190,Upregulated,transmembrane 7 superfamily member 3(TM7SF3)
923,LOC112441893,112441893,Upregulated,small nucleolar RNA SNORD74(LOC112441893)
924,IPO8,523408,Upregulated,importin 8(IPO8)
925,IGHG1,281850,Upregulated,immunoglobulin heavy constant gamma 1(IGHG1)
926,ZFP36,282127,Upregulated,ZFP36 ring finger protein(ZFP36)
927,PODNL1,534549,Upregulated,podocan like 1(PODNL1)
928,CDH3,281063,Upregulated,cadherin 3(CDH3)
929,DACH1,537184,Upregulated,dachshund family transcription factor 1(DACH1)
930,C15H11orf91,781657,Upregulated,chromosome 15 C11orf91 homolog(C15H11orf91)
931,IPO9,515804,Upregulated,importin 9(IPO9)
932,APMAP,535740,Upregulated,adipocyte plasma membrane associated protein(APMAP)
933,LAMP1,281897,Upregulated,lysosomal associated membrane protein 1(LAMP1)
934,MACROD1,613568,Upregulated,mono-ADP ribosylhydrolase 1(MACROD1)
935,ZNF569,520008,Upregulated,zinc finger protein 569(ZNF569)
936,PAPOLB,100140898,Upregulated,poly(A) polymerase beta(PAPOLB)
937,AP5S1,618505,Upregulated,adaptor related protein complex 5 subunit sigma 1(AP5S1)
938,BIVM,532455,Upregulated,"basic, immunoglobulin-like variable motif containing(BIVM)"
939,SNRPN,780877,Upregulated,small nuclear ribonucleoprotein polypeptide N(SNRPN)
940,HARBI1,514442,Upregulated,harbinger transposase derived 1(HARBI1)
941,IGFBP3,282261,Upregulated,insulin like growth factor binding protein 3(IGFBP3)
942,RPS6,787914,Upregulated,ribosomal protein S6(RPS6)
943,SPICE1,515350,Upregulated,spindle and centriole associated protein 1(SPICE1)
944,LOC100294952,100294952,Upregulated,T-cell receptor beta chain T17T-22-like(LOC100294952)
945,RPSA,281898,Upregulated,ribosomal protein SA(RPSA)
946,CACNB2,327667,Upregulated,calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)
947,RAB30,540583,Upregulated,"RAB30, member RAS oncogene family(RAB30)"
948,STIM2,541299,Upregulated,stromal interaction molecule 2(STIM2)
949,LOC112441885,112441885,Upregulated,uncharacterized LOC112441885(LOC112441885)
950,ZNF319,618783,Upregulated,zinc finger protein 319(ZNF319)
951,LOC112442736,112442736,Upregulated,uncharacterized LOC112442736(LOC112442736)
952,TTPAL,526582,Upregulated,alpha tocopherol transfer protein like(TTPAL)
953,IPPK,521083,Upregulated,inositol-pentakisphosphate 2-kinase(IPPK)
954,ZNF793,101907389,Upregulated,zinc finger protein 793(ZNF793)
955,RAB5C,613749,Upregulated,"RAB5C, member RAS oncogene family(RAB5C)"
956,HMMR,281227,Upregulated,hyaluronan mediated motility receptor(HMMR)
957,AK9,504511,Upregulated,adenylate kinase 9(AK9)
958,KLC4,767885,Upregulated,kinesin light chain 4(KLC4)
959,ORC2,511281,Upregulated,origin recognition complex subunit 2(ORC2)
960,CCDC32,506935,Upregulated,coiled-coil domain containing 32(CCDC32)
961,PLTP,505640,Upregulated,phospholipid transfer protein(PLTP)
962,ZNF784,789593,Upregulated,zinc finger protein 784(ZNF784)
963,PLXNA3,782382,Upregulated,plexin A3(PLXNA3)
964,IMPG2,517845,Upregulated,interphotoreceptor matrix proteoglycan 2(IMPG2)
965,ZNF783,536307,Upregulated,zinc finger protein 783(ZNF783)
966,CD164,509820,Upregulated,CD164 molecule(CD164)
967,ANKRD26,533620,Upregulated,ankyrin repeat domain containing 26(ANKRD26)
968,ATP8B2,785713,Upregulated,ATPase phospholipid transporting 8B2(ATP8B2)
969,TNK2,280710,Upregulated,tyrosine kinase non receptor 2(TNK2)
970,TMEM132B,540363,Upregulated,transmembrane protein 132B(TMEM132B)
971,TCEANC,504389,Upregulated,transcription elongation factor A N-terminal and central domain containing(TCEANC)
972,RITA1,533158,Upregulated,RBPJ interacting and tubulin associated 1(RITA1)
973,PYM1,787259,Upregulated,"PYM homolog 1, exon junction complex associated factor(PYM1)"
974,LOC101909028,101909028,Upregulated,uncharacterized LOC101909028(LOC101909028)
975,LOC100849046,100849046,Upregulated,CD48 antigen(LOC100849046)
976,SYNJ2,518435,Upregulated,synaptojanin 2(SYNJ2)
977,NSG1,523110,Upregulated,neuronal vesicle trafficking associated 1(NSG1)
978,ADAP1,282176,Upregulated,ArfGAP with dual PH domains 1(ADAP1)
979,HOPX,281270,Upregulated,HOP homeobox(HOPX)
980,TRMT9B,510845,Upregulated,tRNA methyltransferase 9B (putative)(TRMT9B)
981,ZFP69,521549,Upregulated,ZFP69 zinc finger protein(ZFP69)
982,ZFP62,538928,Upregulated,ZFP62 zinc finger protein(ZFP62)
983,ZFP64,539018,Upregulated,ZFP64 zinc finger protein(ZFP64)
984,LOC112449349,112449349,Upregulated,uncharacterized LOC112449349(LOC112449349)
985,RCAN3,506601,Upregulated,RCAN family member 3(RCAN3)
986,RIOX2,540466,Upregulated,ribosomal oxygenase 2(RIOX2)
987,CDK1,281061,Upregulated,cyclin dependent kinase 1(CDK1)
988,CCDC92B,101901928,Upregulated,coiled-coil domain containing 92B(CCDC92B)
989,PLXNB2,508175,Upregulated,plexin B2(PLXNB2)
990,TADA1,521918,Upregulated,transcriptional adaptor 1(TADA1)
991,TPP2,526052,Upregulated,tripeptidyl peptidase 2(TPP2)
992,ESAM,616926,Upregulated,endothelial cell adhesion molecule(ESAM)
993,DHCR7,514745,Upregulated,7-dehydrocholesterol reductase(DHCR7)
994,LZTR1,506776,Upregulated,leucine zipper like transcription regulator 1(LZTR1)
995,SERINC2,513593,Upregulated,serine incorporator 2(SERINC2)
996,CPM,513281,Upregulated,carboxypeptidase M(CPM)
997,SRXN1,531606,Upregulated,sulfiredoxin 1(SRXN1)
998,COL14A1,781493,Upregulated,collagen type XIV alpha 1 chain(COL14A1)
999,TRADD,504707,Upregulated,TNFRSF1A associated via death domain(TRADD)
1000,ZC3H3,515615,Upregulated,zinc finger CCCH-type containing 3(ZC3H3)
1001,LOC101903951,101903951,Upregulated,uncharacterized LOC101903951(LOC101903951)
1002,H1-12,515957,Upregulated,"H1.12 linker histone, cluster member(H1-12)"
1003,LOC104975561,104975561,Upregulated,uncharacterized LOC104975561(LOC104975561)
1004,DUSP15,618412,Upregulated,dual specificity phosphatase 15(DUSP15)
1005,SYNE3,520207,Upregulated,spectrin repeat containing nuclear envelope family member 3(SYNE3)
1006,DUSP14,507294,Upregulated,dual specificity phosphatase 14(DUSP14)
1007,DUSP10,541175,Upregulated,dual specificity phosphatase 10(DUSP10)
1008,SIN3B,520505,Upregulated,SIN3 transcription regulator family member B(SIN3B)
1009,LOC112442546,112442546,Upregulated,uncharacterized LOC112442546(LOC112442546)
1010,GM2A,504524,Upregulated,ganglioside GM2 activator(GM2A)
1011,NKG2A,514897,Upregulated,NKG2-A/NKG2-B type II integral membrane protein-like(NKG2A)
1012,TLK1,537517,Upregulated,tousled like kinase 1(TLK1)
1013,LOC613519,613519,Upregulated,large ribosomal subunit protein uL3-like(LOC613519)
1014,EVI5L,536625,Upregulated,ecotropic viral integration site 5 like(EVI5L)
1015,LOC132343342,132343342,Upregulated,uncharacterized LOC132343342(LOC132343342)
1016,METTL18,783955,Upregulated,methyltransferase like 18(METTL18)
1017,ADAMTS7,504694,Upregulated,ADAM metallopeptidase with thrombospondin type 1 motif 7(ADAMTS7)
1018,CCDC51,517515,Upregulated,coiled-coil domain containing 51(CCDC51)
1019,LOC132342488,132342488,Upregulated,uncharacterized LOC132342488(LOC132342488)
1020,RFC3,515602,Upregulated,replication factor C subunit 3(RFC3)
1021,PLEKHG2,504530,Upregulated,pleckstrin homology and RhoGEF domain containing G2(PLEKHG2)
1022,RFC4,504637,Upregulated,replication factor C subunit 4(RFC4)
1023,LOC132345995,132345995,Upregulated,uncharacterized LOC132345995(LOC132345995)
1024,CHPF2,100616099,Upregulated,chondroitin polymerizing factor 2(CHPF2)
1025,DIS3,767887,Upregulated,"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease(DIS3)"
1026,PLEKHG5,615910,Upregulated,pleckstrin homology and RhoGEF domain containing G5(PLEKHG5)
1027,TRPC1,282100,Upregulated,transient receptor potential cation channel subfamily C member 1(TRPC1)
1028,DNMT3A,359716,Upregulated,DNA methyltransferase 3 alpha(DNMT3A)
1029,VSTM2L,527903,Upregulated,V-set and transmembrane domain containing 2 like(VSTM2L)
1030,LOC132346607,132346607,Upregulated,uncharacterized LOC132346607(LOC132346607)
1031,RANGAP1,616055,Upregulated,Ran GTPase activating protein 1(RANGAP1)
1032,YDJC,538763,Upregulated,YdjC chitooligosaccharide deacetylase homolog(YDJC)
1033,NIPSNAP1,614972,Upregulated,nipsnap homolog 1(NIPSNAP1)
1034,REXO4,100140713,Upregulated,"REX4 homolog, 3'-5' exonuclease(REXO4)"
1035,ZFP90,100139934,Upregulated,ZFP90 zinc finger protein(ZFP90)
1036,LOC529792,529792,Upregulated,cytokine receptor like factor 2(LOC529792)
1037,WRAP73,514669,Upregulated,"WD repeat containing, antisense to TP73(WRAP73)"
1038,LOC112443864,112443864,Upregulated,MHC class I polypeptide-related sequence B(LOC112443864)
1039,PKM,512571,Upregulated,pyruvate kinase M1/2(PKM)
1040,TRAF4,781568,Upregulated,TNF receptor associated factor 4(TRAF4)
1041,POLR1A,536316,Upregulated,RNA polymerase I subunit A(POLR1A)
1042,CATSPERG,100141222,Upregulated,cation channel sperm associated auxiliary subunit gamma(CATSPERG)
1043,XCL2,100295210,Upregulated,chemokine (C motif) ligand 2(XCL2)
1044,CEBPB,338319,Upregulated,CCAAT enhancer binding protein beta(CEBPB)
1045,CEBPD,281678,Upregulated,CCAAT enhancer binding protein delta(CEBPD)
1046,WBP1,509188,Upregulated,WW domain binding protein 1(WBP1)
1047,TTL,514559,Upregulated,tubulin tyrosine ligase(TTL)
1048,BPHL,505457,Upregulated,biphenyl hydrolase like(BPHL)
1049,JAKMIP3,614810,Upregulated,Janus kinase and microtubule interacting protein 3(JAKMIP3)
1050,NSL1,506867,Upregulated,NSL1 component of MIS12 kinetochore complex(NSL1)
1051,MRM3,538817,Upregulated,mitochondrial rRNA methyltransferase 3(MRM3)
1052,SELENBP1,510154,Upregulated,selenium binding protein 1(SELENBP1)
1053,MROH1,515055,Upregulated,maestro heat like repeat family member 1(MROH1)
1054,REPIN1,511510,Upregulated,replication initiator 1(REPIN1)
1055,FBXL21,505624,Upregulated,F-box and leucine rich repeat protein 21(FBXL21)
1056,ABLIM1,504968,Upregulated,actin binding LIM protein 1(ABLIM1)
1057,LOC782688,782688,Upregulated,protein SET-like(LOC782688)
1058,MSTO1,535567,Upregulated,misato mitochondrial distribution and morphology regulator 1(MSTO1)
1059,HECTD3,513646,Upregulated,HECT domain E3 ubiquitin protein ligase 3(HECTD3)
1060,DNAJB4,541274,Upregulated,DnaJ heat shock protein family (Hsp40) member B4(DNAJB4)
1061,EEF2KMT,531984,Upregulated,eukaryotic elongation factor 2 lysine methyltransferase(EEF2KMT)
1062,FKTN,536891,Upregulated,fukutin(FKTN)
1063,LOC132345980,132345980,Upregulated,uncharacterized LOC132345980(LOC132345980)
1064,LOC132345972,132345972,Upregulated,uncharacterized LOC132345972(LOC132345972)
1065,SLC35A3,520918,Upregulated,solute carrier family 35 member A3(SLC35A3)
1066,CCDC57,518878,Upregulated,coiled-coil domain containing 57(CCDC57)
1067,CEP152,536117,Upregulated,centrosomal protein 152(CEP152)
1068,PNRC1,507736,Upregulated,proline rich nuclear receptor coactivator 1(PNRC1)
1069,FBXL12,617304,Upregulated,F-box and leucine rich repeat protein 12(FBXL12)
1070,ENOX1,615969,Upregulated,ecto-NOX disulfide-thiol exchanger 1(ENOX1)
1071,C7H5orf63,100335582,Upregulated,chromosome 7 C5orf63 homolog(C7H5orf63)
1072,POLR3A,540308,Upregulated,RNA polymerase III subunit A(POLR3A)
1073,PSAT1,533044,Upregulated,phosphoserine aminotransferase 1(PSAT1)
1074,CTH,539159,Upregulated,cystathionine gamma-lyase(CTH)
1075,RUNDC1,539525,Upregulated,RUN domain containing 1(RUNDC1)
